3i. Percent of fleet that is electric,4b. Number of students in district,4e. Percentage of students in district eligible for free or reduced price lunch,4g. Percent of population below the poverty level
0.01498726376839015,-0.26229688232331266,1.0649299616753398,0.49324540737307504
-0.145180961790023,-0.33059276982984415,1.7000502046275414,1.1941006304727027
-0.08834707530155382,-0.35452927059579886,-0.2568319063253504,-0.8792627378636968
0.36632401660619957,-0.3198689246854638,-1.0430097862254548,-0.12000291283909967
-0.2872656780111959,-0.17690872286311016,-1.880627700520303,-1.5509156600008405
-0.145180961790023,0.9412259841704032,-0.3044963653732603,-0.8208581359387278
-0.23301514999947534,-0.2373355772432192,0.014728314133533288,0.6684592131479818
-0.23698954765601163,-0.08376133073871438,0.8550620190546777,0.5516500092980438
-0.11509243364906871,0.5030855397220173,-0.039988175086380084,0.12821664534201843
-0.3156826212554305,-0.3317639747602884,-1.880627700520303,-0.12000291283909967
-0.23544654621288577,-0.27166652176686684,-0.6943908485081337,-1.1566845970072996
-0.1641255906195127,-0.014587039534349715,-0.5624088621010488,-0.7770546844950009
-0.042879966110778454,-0.34486682991963363,-0.7439980365506749,-0.9230661893074235
-0.145180961790023,-0.043940363103609215,-0.6405695992811061,-1.010673092194877
-0.17928129368310447,-0.3529920641245908,1.412482808100124,0.4640431064105901
-0.29164714503123207,0.1429766237644809,-0.5813891150045788,-0.9960719417136348
-0.17928129368310447,-0.36294730603336706,0.003939617978562366,0.3034304511169256
0.36632401660619957,-0.36104409802139514,-1.880627700520303,-0.45582937390767153
0.059915237277061426,-0.1511788145474126,0.888632177647428,1.0334879751790385
-0.08834707530155382,-0.32612755103252533,-0.4579476399928113,-0.587239728238852
-0.24426831362594045,2.5537555724677037,0.5875072645104317,0.3326327520794101
-0.08834707530155382,-0.3423414192883632,0.41481426526132836,-0.04699716043288834
-0.145180961790023,-0.2689764104422526,0.05828709874025161,-0.12000291283909967
0.26889449691168094,-0.3503202528770148,-0.08638822735253798,-1.244291499894753
-0.11749265811615336,0.2199467477871152,0.21264017457766057,-0.601840878720094
0.12561579147856544,0.17902777552971855,0.03904950368709265,-0.193008665245311
-0.24073683687503158,1.108927890148392,1.2206021477008047,1.135696028547734
-0.2788173975872343,-0.14470058727589274,0.5039376248266323,0.1428177958232607
0.3176092567589403,-0.09228916663851171,1.359101382922826,0.05521089293580711
-0.3032825005670372,-0.06769386309918206,0.27758312337457774,0.15741894630450337
0.2089378694073619,-0.23228475598067827,-0.3721553582864662,-1.0982799950823305
0.005261678914748353,-0.2520854393360017,-0.32668412348509474,0.9312799218103426
-0.08834707530155382,-0.3584088869278955,-0.5566795675244612,-1.0398753931573614
1.0483306544678295,-0.35021045241478566,-0.6560668585000444,-0.12000291283909967
0.10401377127480342,-0.34991765118217455,0.42776677875586044,1.8365512516473623
-0.145180961790023,-0.3646309131208807,0.3309674761886598,-0.12000291283909967
0.7252748786386366,-0.21680289080636808,-0.34791970021596635,-0.8500604369012124
-0.19168141437149774,-0.31159728986420115,-0.6555968285547583,-1.0836788446010883
-0.13381418449232915,-0.3409506134334606,-0.22299918778752467,-0.6164420292013363
-0.2824140047743754,-0.30625366736904913,1.1682237208202548,-0.3828236215014602
-0.145180961790023,-0.2689764104422526,0.05828709874025161,-0.12000291283909967
0.29054550128824064,-0.3285431612015667,-1.880627700520303,1.486123640097548
-0.25637769622398443,-0.2211949092955341,0.863930031642178,-0.3536213205389757
-0.17928129368310447,-0.32166233223520657,-1.880627700520303,1.0626902761415227
0.13898847065232287,-0.3391206057296415,-0.579414030414289,-0.193008665245311
-0.10350277836514558,0.167901328690498,0.7452354232438843,0.06981204341704937
-0.12501409884250167,0.6484613517134122,0.8990819273732287,-0.10540176235785739
